thick,t_mm,width,test,W_Y,M,SAC,n,alpha,onset,frame,eps1,eps2
A,1.2,W02,001,25.0,0.7,0.001,8,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.7,0.001,10,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.7,0.001,10,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.0005,6,0.1,True,403,0.2994326055049896,-0.09068463781946584
A,1.2,W02,001,25.0,0.75,0.0005,6,0.2,True,404,0.30301680768791,-0.09167677477786415
A,1.2,W02,001,25.0,0.75,0.0005,8,0.1,True,403,0.2994326055049896,-0.09068463781946584
A,1.2,W02,001,25.0,0.75,0.0005,8,0.2,True,404,0.30301680768791,-0.09167677477786415
A,1.2,W02,001,25.0,0.75,0.0005,10,0.1,True,403,0.2994326055049896,-0.09068463781946584
A,1.2,W02,001,25.0,0.75,0.0005,10,0.2,True,404,0.30301680768791,-0.09167677477786415
A,1.2,W02,001,25.0,0.75,0.001,6,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.001,6,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.001,8,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.001,8,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.001,10,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.75,0.001,10,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.0005,6,0.1,True,352,0.1970519586221168,-0.05600840863036482
A,1.2,W02,001,25.0,0.8,0.0005,6,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.0005,8,0.1,True,352,0.1970519586221168,-0.05600840863036482
A,1.2,W02,001,25.0,0.8,0.0005,8,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.0005,10,0.1,True,352,0.1970519586221168,-0.05600840863036482
A,1.2,W02,001,25.0,0.8,0.0005,10,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,6,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,6,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,8,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,8,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,10,0.1,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,001,25.0,0.8,0.001,10,0.2,True,387,0.23461981196152537,-0.06892765519258223
A,1.2,W02,002,15.0,0.7,0.0005,6,0.1,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.0005,6,0.2,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.0005,8,0.1,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.0005,8,0.2,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.0005,10,0.1,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.0005,10,0.2,True,424,0.3493429215216055,-0.10132623809139903
A,1.2,W02,002,15.0,0.7,0.001,6,0.1,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.7,0.001,6,0.2,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.7,0.001,8,0.1,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.7,0.001,8,0.2,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.7,0.001,10,0.1,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.7,0.001,10,0.2,True,393,0.23243152095777234,-0.06703132790763204
A,1.2,W02,002,15.0,0.75,0.0005,6,0.1,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.0005,6,0.2,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.0005,8,0.1,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.0005,8,0.2,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.0005,10,0.1,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.0005,10,0.2,True,421,0.3328516290682118,-0.0977269189386833
A,1.2,W02,002,15.0,0.75,0.001,6,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.75,0.001,6,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.75,0.001,8,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.75,0.001,8,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.75,0.001,10,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.75,0.001,10,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.0005,6,0.1,True,414,0.2987168180506404,-0.08798324053243893
A,1.2,W02,002,15.0,0.8,0.0005,6,0.2,True,415,0.3042864516014006,-0.08965428555157126
A,1.2,W02,002,15.0,0.8,0.0005,8,0.1,True,414,0.2987168180506404,-0.08798324053243893
A,1.2,W02,002,15.0,0.8,0.0005,8,0.2,True,415,0.3042864516014006,-0.08965428555157126
A,1.2,W02,002,15.0,0.8,0.0005,10,0.1,True,414,0.2987168180506404,-0.08798324053243893
A,1.2,W02,002,15.0,0.8,0.0005,10,0.2,True,415,0.3042864516014006,-0.08965428555157126
A,1.2,W02,002,15.0,0.8,0.001,6,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.001,6,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.001,8,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.001,8,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.001,10,0.1,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,15.0,0.8,0.001,10,0.2,True,398,0.2372003948179687,-0.06822720197279279
A,1.2,W02,002,20.0,0.7,0.0005,6,0.1,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,20.0,0.7,0.0005,6,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.7,0.0005,8,0.1,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,20.0,0.7,0.0005,8,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.7,0.0005,10,0.1,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,20.0,0.7,0.0005,10,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.7,0.001,6,0.1,True,343,0.2086138219023362,-0.05859800552328428
A,1.2,W02,002,20.0,0.7,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.7,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.7,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.7,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.7,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.75,0.0005,6,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.75,0.0005,6,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.75,0.0005,8,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.75,0.0005,8,0.2,True,393,0.23245546317253357,-0.06698721742782837
