Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_016_W08_001,1,E0_RM00_016,W08,001,31.May.2026 22:09,440,0,0,0.363637024309577,0.05592197291098717,0.37032867795654556,0.05402271338574786,89.14,ok,
E0_RM00_016_W08_002,1,E0_RM00_016,W08,002,31.May.2026 22:10,441,0,0,0.36849423529396597,0.05472751045730752,0.36380278320399173,0.05382718047396749,89.16,ok,
E0_RM00_016_W09_001,1,E0_RM00_016,W09,001,31.May.2026 22:10,443,69,0,0.4000949516001265,0.07194730144133986,0.4006655314699432,0.06848818258112772,75.26,ok,
E0_RM00_016_W09_002,1,E0_RM00_016,W09,002,31.May.2026 22:11,442,75,0,0.3611991404252158,0.07288814873244222,0.37810296159600015,0.06895673206678585,75.39,ok,
E0_RM00_016_W10_001,1,E0_RM00_016,W10,001,31.May.2026 22:11,443,45,0,0.3612269423626087,0.08849908200403055,0.37465529082932614,0.08121950712769196,88.55,ok,
E0_RM00_016_W10_002,1,E0_RM00_016,W10,002,31.May.2026 22:12,447,56,0,0.3655292491485363,0.08735228919332878,0.3611046039085746,0.08073630061807552,88.29,ok,
E0_RM00_016_W12_001,1,E0_RM00_016,W12,001,31.May.2026 22:12,457,0,0,0.35847928067021284,0.13682736393374278,0.33048658142645815,0.13504837241966508,88.31,ok,
E0_RM00_016_W12_002,1,E0_RM00_016,W12,002,31.May.2026 22:13,461,93,0,0.35498687500754994,0.13115940825082362,0.34497443242693443,0.12795955525952146,88.3,ok,
E0_RM00_016_W20_001,1,E0_RM00_016,W20,001,31.May.2026 22:13,509,38,0,0.4485533920481579,0.37273534774571315,0.3908199995639655,0.36070807878765504,21.81,ok,
E0_RM00_016_W20_002,0,E0_RM00_016,W20,002,31.May.2026 22:14,517,58,,0.49150017370058835,0.39439895744335146,,,,,
E0_RM00_018_W02_001,1,E0_RM00_018,W02,001,31.May.2026 22:14,427,48,0,0.3531293446116705,-0.08098908126890506,0.3905162749071004,-0.08208555998570548,37.36,ok,
E0_RM00_018_W05_001,1,E0_RM00_018,W05,001,31.May.2026 22:14,453,53,0,0.3256318497365343,-0.017228017863515136,0.34740018378097864,-0.011874493661926878,89.2,ok,
E0_RM00_018_W08_001,1,E0_RM00_018,W08,001,31.May.2026 22:15,446,28,0,0.3141033973741892,0.030563689111462167,0.27116086462632116,0.07685180732877528,89.68,ok,- l 1: e1 unstable -- l 2: e1 unstable -- l 3: e1 unstable -- l 4: e1 unstable -
E0_RM00_018_W09_001,1,E0_RM00_018,W09,001,31.May.2026 22:15,444,74,0,0.3117337236613161,0.04473583019861189,0.3067774020475684,0.05437452905334036,89.52,ok,- l 4: e1 unstable -
E0_RM00_018_W10_001,1,E0_RM00_018,W10,001,31.May.2026 22:16,452,0,0,0.30865907570690787,0.05714028383632308,0.31914589970396917,0.052416254922867354,89.22,ok,
