Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_090_W02_001,1,E0_RM00_090,W02,001,31.May.2026 23:19,436,13,0,0.31279873764011223,-0.0877635496812807,0.31737552502370614,-0.08770445631276821,83.76,ok,
E0_RM00_090_W02_002,1,E0_RM00_090,W02,002,31.May.2026 23:19,439,12,0,0.28019255312562685,-0.07825077329462732,0.31884742822529394,-0.08755186325293818,89.61,ok,
E0_RM00_090_W05_001,1,E0_RM00_090,W05,001,31.May.2026 23:20,475,149,0,0.2691039778910998,-0.04048756863983763,0.29227296323025637,-0.03513079249078116,89.64,ok,
E0_RM00_090_W05_002,1,E0_RM00_090,W05,002,31.May.2026 23:20,477,44,0,0.25342810232719964,-0.03065535089052253,0.27898161544350586,-0.03064387644947137,89.18,check manually,
E0_RM00_090_W08_001,1,E0_RM00_090,W08,001,31.May.2026 23:21,469,87,0,0.23262536596979272,0.0046900431635226135,0.24360899243507408,0.004493164045968301,89.18,check manually,
E0_RM00_090_W08_002,1,E0_RM00_090,W08,002,31.May.2026 23:21,461,45,0,0.23346297080164025,0.005741876018787056,0.23638567625370496,0.005533639305022908,82.74,check manually,
E0_RM00_090_W09_001,1,E0_RM00_090,W09,001,31.May.2026 23:22,450,80,0,0.22736856848983975,0.01944218139290373,0.2226039919752317,0.01862522230891118,87.7,ok,
E0_RM00_090_W09_002,1,E0_RM00_090,W09,002,31.May.2026 23:22,454,103,0,0.23978023108618707,0.018061998837272893,0.24147396442332775,0.01645572254046012,89.34,ok,
E0_RM00_090_W10_001,1,E0_RM00_090,W10,001,31.May.2026 23:23,478,111,0,0.21541340525142952,0.02923230030136226,0.21165105916238064,0.027799675516812845,45.54,ok,
E0_RM00_090_W10_002,1,E0_RM00_090,W10,002,31.May.2026 23:23,453,134,0,0.2252031512979257,0.027383624145952967,0.21294506941295718,0.025250501852209457,76.32,ok,
E0_RM00_090_W12_001,1,E0_RM00_090,W12,001,31.May.2026 23:24,462,138,0,0.20159770086824993,0.05066864069127761,0.1787900432321078,0.05774347653426959,89.61,ok,- l 1: e1 unstable -- l 1: e3 unstable -- l 2: e1 unstable -- l 3: e1 unstable -- l 4: e1 unstable -
E0_RM00_090_W12_002,1,E0_RM00_090,W12,002,31.May.2026 23:24,474,155,0,0.20031210945473624,0.05222046076822006,0.20903309563489025,0.04834618410972165,89.51,ok,
E0_RM00_090_W20_001,1,E0_RM00_090,W20,001,31.May.2026 23:25,595,140,0,0.36861885475755185,0.3265577829658018,0.37108874618432236,0.3448561659857573,58.48,ok,
E0_RM00_090_W20_002,1,E0_RM00_090,W20,002,31.May.2026 23:25,606,87,0,0.3987496063478753,0.3636827851614739,0.38253647703188026,0.3584904458401558,77.71,ok,
